iter	RMSE
0	492911790.8
1	454022398.2
2	417632376.5
3	385145882.7
4	355591894.5
5	329604706.6
6	305547103.8
7	283684753.1
8	264045002.3
9	246657672.6
10	230805581.4
11	216933052.3
12	204066002.1
13	192460742.2
14	182090636.1
15	172928803
16	165402842
17	158721863.4
18	151769763.1
19	145608858.4
20	140473564.8
21	134989954.1
22	130412337.1
23	126463670.8
24	122883094
25	119471324.6
26	116362525
27	113701839.8
28	111228963.1
29	108566658.1
30	106212150.1
31	104352712.1
32	102201775.7
33	101114902.7
34	99831997.87
35	98194723.84
36	96931313.63
37	94742506.61
38	93197715.14
39	91979765.88
40	90701616.1
41	90133805.58
42	88781758.55
43	87867241.6
44	87467153.44
45	85883944.08
46	84758906.87
47	82972826.68
48	82015928.85
49	80208352.47
50	78618105.75
51	77818044.56
52	76271847.97
53	75068688.87
54	74264231.76
55	73314277.89
56	72053338.45
57	71082503.07
58	70549332.99
59	69476287.43
60	68540892.4
61	67972845.98
62	67418873.91
63	65893370.15
64	65575925.01
65	64819528.12
66	64483100.63
67	64038065.02
68	63808132.63
69	63203998.91
70	62891731.15
71	62563884.94
72	62016234.33
73	61316736.31
74	61075019.05
75	61023136.46
76	60364328.35
77	60096224.73
78	58988943.87
79	58276001.72
80	57311805.31
81	56852117.8
82	56334305.3
83	55583429.8
84	55462748.55
85	55432265.02
86	55131230.98
87	55098335.42
88	54909568.26
89	54711256.14
90	54108263.32
91	54092051.06
92	53988460.54
93	53748901.79
94	53698240.07
95	53630926.62
96	53372184.05
97	52436594.15
98	52094134.65
99	51951759.9
100	51880947.6
101	51827203.34
102	51459265.99
103	51188890.69
104	51050293.63
105	51031954.23
106	51011519.32
107	50996820.91
108	50663494.33
109	50364418.71
110	50024099.05
111	49466821.11
112	49253569.09
113	48776416.55
114	48055400.01
115	47980263.39
116	47859665.63
117	47376284.13
118	47215228.67
119	46458498.73
120	46379289.44
121	46164682.67
122	46038351.02
123	45682796.17
124	45057746.91
125	45042023.81
126	44914324.99
127	44865093.93
128	44857644.78
129	44789914.86
130	44533556.16
131	44330942.28
132	43095097.86
133	42581032.92
134	41911276.51
135	41886661.08
136	41751832.5
137	41635459.61
138	41577885.35
139	41512777.11
140	40903369.75
141	40349033.42
142	40194697.64
143	39944018.34
144	39937388.73
145	39846250.95
146	39755605.2
147	39359003.32
148	38993939.23
149	38523540.87
150	38423694.88
151	37517016.92
152	37263979.17
153	37185955.64
154	36706840.98
155	36473900.55
156	36409726.27
157	36269036.95
158	36007267.83
159	35814841.49
160	35640202.82
161	35632317.29
162	35490328.21
163	35459286.08
164	34787071.48
165	34628337.73
166	34256346.92
167	34004181.67
168	33968839.55
169	33841593.11
170	33500247.65
171	33230879.44
172	33036374.66
173	32528393.94
174	32040293.33
175	31844474.62
176	31621297.58
177	31601651.76
178	31477923.91
179	31431518.13
180	31006964.37
181	30932547.04
182	30756751.27
183	30599480.62
184	30572450.56
185	30435264.41
186	30337810.59
187	30050158.12
188	30042126.88
189	29944272.6
190	29928374.8
191	29922166.63
192	29766491.52
193	29618007.44
194	29489411.75
195	29424431
196	29077397.64
197	29071017.57
198	28944075.31
199	28913045.77
200	28881269.92
201	28808303.85
202	28700196.51
203	28555400.08
204	28450223.86
205	28430829.94
206	28411007.65
207	28389375.96
208	28133894.16
209	28122768.52
210	28116749.01
211	28023133.71
212	27897010.27
213	27655292.88
214	27636988.76
215	27461324.46
216	27333831.77
217	27302966.59
218	27213731.55
219	26934378.44
220	26867064.65
221	26846689.4
222	26840201.25
223	26705149.1
224	26547849.13
225	26489348.24
226	26267024.72
227	26251986.18
228	26222544.24
229	26039182.09
230	25997781.03
231	25831270.62
232	25802201.12
233	25687969.96
234	25677141.87
235	25664498.38
236	25442535.26
237	25191245.01
238	25016609.12
239	24858819.61
240	24764871.76
241	24616450.69
242	24380192.87
243	24156396.62
244	24014459.42
245	23843074.71
246	23651340.44
247	23418193.67
248	23314581.81
249	23083108.1
250	22983482.4
251	22925585.65
252	22853712.87
253	22765245.65
254	22757504
255	22737694.65
256	22656411.47
257	22636758.6
258	22596001.77
259	22469223.84
260	22462702.19
261	22456948.34
262	22291883.39
263	22232764.73
264	22132635.54
265	21990685.98
266	21833231.79
267	21734744.9
268	21633125.58
269	21577800.49
270	21434264.3
271	21366649.24
272	21309462.49
273	21201330.3
274	21190665.66
275	21069523.67
276	21034288.65
277	20970601.88
278	20963977.1
279	20947380.6
280	20900051.71
281	20767779.43
282	20644444.43
283	20637017.33
284	20600207.64
285	20513230.52
286	20507308.59
287	20482343.9
288	20431280.75
289	20426437.79
290	20408379.87
291	20360319.18
292	20331634.1
293	20301303.3
294	20196477.16
295	20191378.9
296	20176892.43
297	20111064.52
298	20085954.33
299	20059186.24
300	20012193.5
301	19992244.87
302	19941807.05
303	19848896.12
304	19834036.14
305	19767390.79
306	19753066.17
307	19743236.29
308	19663271.84
309	19635078.58
310	19621761.22
311	19575935.65
312	19477562.16
313	19438217.26
314	19367336.49
315	19330388.63
316	19297277.78
317	19238412.78
318	19226264.94
319	19215814.66
320	19210564.02
321	19051278.52
322	19040156.01
323	19025410.06
324	18971030.76
325	18879990.04
326	18789042.47
327	18776740.68
328	18767534.78
329	18638564.54
330	18576302.83
331	18566228.48
332	18504377.99
333	18488419.93
334	18459713.84
335	18447748.4
336	18330475.79
337	18313729.59
338	18306911.57
339	18296394.9
340	18251389.86
341	18211239.27
342	18177989.34
343	18166795.95
344	18074354.1
345	18034456.58
346	17985974.53
347	17934988.33
348	17897493.04
349	17858087.43
350	17780036.19
351	17749652.38
352	17598396.83
353	17495097.19
354	17429759.09
355	17374905.99
356	17338873.12
357	17268011.07
358	17232732.52
359	17181456.25
360	17175728.23
361	17158950.62
362	17133475.25
363	17124489.71
364	17112925.95
365	17104014.96
366	17082053.44
367	17074891.65
368	17064878.43
369	17024980.92
370	17018050.96
371	16985187.75
372	16951615.03
373	16922483.59
374	16853948.03
375	16803141.47
376	16797923.92
377	16761809.43
378	16754994.69
379	16744910.96
380	16705644.43
381	16640100.37
382	16586400.89
383	16580306.24
384	16566698.67
385	16561527.64
386	16491403.99
387	16448645.72
388	16445116.59
389	16440734.86
390	16390127.42
391	16378660.97
392	16366959.64
393	16339615.75
394	16308907.55
395	16295564.51
396	16290807.59
397	16281576.64
398	16278011.52
399	16253619.14
400	16250034.56
401	16240891.92
402	16205604.07
403	16201093.35
404	16168563.32
405	16161005.72
406	16142003.85
407	16137755.33
408	16120815.23
409	16073345.89
410	16048824.25
411	16042850.19
412	16024393.69
413	15984380.5
414	15974352.82
415	15881667.18
416	15811889.04
417	15779895.57
418	15705366.29
419	15676785.61
420	15659786.19
421	15651434.5
422	15635123.54
423	15624294.07
424	15578988.07
425	15564454.37
426	15559710.47
427	15556668.66
428	15547280.83
429	15539251.34
430	15469141.09
431	15453593.42
432	15423831.38
433	15375870.64
434	15353729.08
435	15340113.94
436	15293494.65
437	15289643.67
438	15283865.94
439	15216413.31
440	15210050.47
441	15206125.31
442	15149280.34
443	15112935.49
444	15105392.29
445	15044551.96
446	15041139.1
447	15031757.14
448	15024724.75
449	15016987.37
450	15013688.88
451	15010212.91
452	14996190.95
453	14989916.38
454	14924599.6
455	14917565.06
456	14914509.93
457	14880245.97
458	14877989.61
459	14825407.04
460	14799995.35
461	14760836.63
462	14746663.36
463	14742372.86
464	14739904.42
465	14701610.96
466	14668261.2
467	14620095.19
468	14603032.83
469	14596551.17
470	14563753.22
471	14551591.72
472	14543292.2
473	14540520.59
474	14512840.64
475	14466175.75
476	14426940.94
477	14425031.77
478	14392135.66
479	14388958.98
480	14372620.9
481	14344053.02
482	14337280.29
483	14330630.86
484	14317979
485	14312058.49
486	14310269.93
487	14306647.78
488	14305079.42
489	14278425.11
490	14271917.86
491	14267065.74
492	14260765.19
493	14255395.17
494	14237582.23
495	14234066.72
496	14202231.1
497	14115720.5
498	14090608.61
499	14078217.23
500	14067247.21
501	14029889.64
502	14017054.16
503	14011095.15
504	13985049.1
505	13981878.82
506	13936100.33
507	13933861.91
508	13929595.53
509	13926497.37
510	13924985.34
511	13918904.81
512	13899921.26
513	13883521.17
514	13835631.44
515	13823529.24
516	13801743.32
517	13797966.85
518	13765221.2
519	13759908.48
520	13757078.85
521	13753600.97
522	13747114.27
523	13726001.55
524	13719411.92
525	13712468.6
526	13685134.42
527	13681262.66
528	13675665.67
529	13672881.06
530	13656556.25
531	13638194.57
532	13635083.26
533	13633326.93
534	13626810.27
535	13586504.54
536	13583784.34
537	13582611.52
538	13578374.38
539	13564934.68
540	13561208.52
541	13483467.09
542	13482185.63
543	13462074.92
544	13436705.49
545	13383664.13
546	13377776.84
547	13359824.46
548	13339974.13
549	13337803.81
550	13335964.74
551	13289490.43
552	13267375.3
553	13253860.1
554	13237677.61
555	13228934.89
556	13212827.16
557	13197906.01
558	13154823.46
559	13135357.74
560	13106452.26
561	13014406.19
562	13003871.04
563	12999584.61
564	12998393.76
565	12996702.08
566	12940466.33
567	12936107.08
568	12930369.05
569	12919971.06
570	12910566.26
571	12908295.73
572	12899952.58
573	12880399.99
574	12877392.23
575	12874056.99
576	12867244.82
577	12855173.09
578	12824187.51
579	12820214.65
580	12766110.26
581	12734258.9
582	12719100.19
583	12716468.18
584	12712969.95
585	12702197.19
586	12698459.96
587	12687554.95
588	12683305.63
589	12681556.8
590	12672853.99
591	12670330.25
592	12665745.93
593	12648894.64
594	12637974.79
595	12633007.08
596	12630244.4
597	12584559.66
598	12568754.17
599	12562585.93
600	12558115.31
601	12556467.84
602	12553024.06
603	12551776.82
604	12478059.18
605	12472601.33
606	12468810.8
607	12465959.98
608	12462010
609	12458556.53
610	12444106.33
611	12412193.25
612	12404838.58
613	12402275.3
614	12382092.34
615	12377107.96
616	12374770.21
617	12370658.3
618	12369650.96
619	12367777.56
620	12339437.47
621	12331178.19
622	12300004.26
623	12272870.83
624	12266351.45
625	12237533.63
626	12231777.3
627	12229204.12
628	12185848.9
629	12183652.5
630	12179172.47
631	12177972.87
632	12175970.08
633	12148461.14
634	12141778.41
635	12137907.27
636	12121788.73
637	12119204.5
638	12118251.1
639	12109722.48
640	12098278.57
641	12080293.54
642	12078654.55
643	12058858.65
644	12043131.34
645	12040697.76
646	12018974.51
647	12013821.95
648	12009786.94
649	12006226.7
650	11979360.35
651	11975786.39
652	11969100.71
653	11967295.39
654	11963608.17
655	11962328.71
656	11951567.72
657	11935889.95
658	11929233.54
659	11906719.84
660	11893924.43
661	11887626.59
662	11867563.37
663	11863124.61
664	11842274.85
665	11838842.05
666	11822358.66
667	11795648.02
668	11790093.16
669	11760238.77
670	11757679.66
671	11740509.73
672	11735633.44
673	11706048.54
674	11701889
675	11683034.62
676	11664279.13
677	11647238.31
678	11640315.97
679	11626556.64
680	11616903.04
681	11610796.91
682	11597576.1
683	11595442.15
684	11591860.69
685	11588985.71
686	11586085.18
687	11584125.25
688	11571805.24
689	11565516.74
690	11563406.75
691	11562169.82
692	11544325.31
693	11541040.94
694	11514652.36
695	11507061.07
696	11483794.32
697	11472327.6
698	11449862.82
699	11449004.98
700	11438319.37
701	11391344.39
702	11388944.12
703	11376594.27
704	11351643.69
705	11347687.26
706	11322953.47
707	11308955.5
708	11306913.71
709	11301560.02
710	11288957.26
711	11279579.07
712	11273499.55
713	11238133.46
714	11214456.99
715	11212823.86
716	11200113.84
717	11189532.14
718	11142277.6
719	11137631.54
720	11129881.98
721	11094208.26
722	11092550.69
723	11083036.49
724	11080559.34
725	11070959.65
726	11067911.07
727	11065786.4
728	11056350.63
729	11046218.07
730	11029650.72
731	11028389.11
732	11025919.44
733	11024709.55
734	11023666.52
735	11007941.53
736	10994351.51
737	10992302.08
738	10991080.55
739	10989412.87
740	10975923.92
741	10914891.42
742	10880611.94
743	10865556.81
744	10863465.46
745	10843961.34
746	10839297.38
747	10828396.72
748	10802706.07
749	10781597.45
750	10765705.78
751	10732235.92
752	10723685.78
753	10722021.33
754	10718272.08
755	10687163.14
756	10674174.49
757	10672999.46
758	10649797.06
759	10647510.75
760	10627497.62
761	10624621.01
762	10618303.45
763	10617009.93
764	10609972.65
765	10608458.41
766	10590260.41
767	10587324.65
768	10581967.2
769	10577611.66
770	10568529.59
771	10548691.03
772	10527483.2
773	10517273.17
774	10505613.96
775	10491225.84
776	10459776.39
777	10457372.78
778	10447888.15
779	10446697.49
780	10435507.76
781	10412590.76
782	10402785.82
783	10393942.55
784	10389701.14
785	10388031.22
786	10368254.18
787	10341993.79
788	10315037.47
789	10304396.02
790	10290259.11
791	10260476.25
792	10246589.43
793	10243925
794	10242309.54
795	10236696.74
796	10234007.15
797	10215892.38
798	10213650.95
799	10205894.2
800	10205188.43
801	10203369.08
802	10201026.77
803	10189849.13
804	10173336.71
805	10169860.92
806	10167543.36
807	10156668.24
808	10140328.83
809	10132528.74
810	10110127.51
811	10108491.31
812	10107118.99
813	10104449.51
814	10081662.09
815	10076662.75
816	10075773.04
817	10074352.67
818	10072893.94
819	10049708.81
820	10022647.11
821	9976954.262
822	9975839.949
823	9964599.33
824	9961952.599
825	9960431.036
826	9944338.469
827	9931862.709
828	9928344.711
829	9924718.423
830	9922494.018
831	9918592.11
832	9902043.584
833	9900059.257
834	9888451.251
835	9875000.244
836	9868586.925
837	9845861.843
838	9841614.729
839	9817294.05
840	9815352.947
841	9811524.28
842	9809108.093
843	9796400.658
844	9794145.931
845	9792141.426
846	9791168.134
847	9789711.02
848	9769113.162
849	9762764.341
850	9758156.33
851	9741483.713
852	9738741.11
853	9737890.291
854	9736270.307
855	9720025.048
856	9705478.07
857	9704258.283
858	9702867.346
859	9684493.375
860	9675043.348
861	9660052.864
862	9640746.856
863	9608779.491
864	9607845.414
865	9595126.098
866	9593804.087
867	9579799.8
868	9572165.225
869	9560370.493
870	9554725.865
871	9549657.17
872	9542432.539
873	9539361.55
874	9527530.335
875	9524038.168
876	9521724.946
877	9512840.168
878	9489727.797
879	9488262.998
880	9486314.929
881	9484560.184
882	9483614.314
883	9470278.699
884	9454238.902
885	9444800.717
886	9443460.644
887	9441819.923
888	9439688.555
889	9428834.891
890	9416106.91
891	9414078.127
892	9388887.326
893	9387353.441
894	9385828.346
895	9383372.295
896	9380259.518
897	9371516.152
898	9345618.667
899	9344701.471
900	9322334.494
901	9304395.88
902	9302389.07
903	9287226.01
904	9278520.748
905	9277347.262
906	9273270.332
907	9239977.898
908	9208496.102
909	9201418.315
910	9197918.298
911	9194842.524
912	9192663.882
913	9185924.253
914	9184516.662
915	9181498.957
916	9179405.86
917	9173559.301
918	9172152.652
919	9170935.988
920	9159504.568
921	9158513.419
922	9141581.268
923	9140083.21
924	9118905.361
925	9089868.018
926	9079871.962
927	9069745.934
928	9067273.875
929	9060609.197
930	9058299.964
931	9030583.239
932	9010287.62
933	8995921.901
934	8985460.195
935	8984191.454
936	8980678.829
937	8977411.973
938	8976656.172
939	8974049.842
940	8971519.605
941	8962833.199
942	8956703.766
943	8928627.521
944	8913354.64
945	8911777.977
946	8910308.481
947	8909145.219
948	8907802.528
949	8904682.593
950	8898025.353
951	8889253.921
952	8888036.445
953	8885606.805
954	8884782.001
955	8883324.73
956	8882491.203
957	8872227.939
958	8870828.214
959	8869064.001
960	8865913.896
961	8862290.852
962	8860067.643
963	8856730.104
964	8853985.323
965	8843789.893
966	8842088.58
967	8834423.29
968	8831476.475
969	8814944.812
970	8813933.815
971	8801535.355
972	8799679.342
973	8792054.746
974	8790759.141
975	8788354.903
976	8769673.837
977	8760568.079
978	8757753.451
979	8739911.679
980	8727946.91
981	8709510.482
982	8703510.072
983	8686106.635
984	8672840.843
985	8654779.215
986	8653315.567
987	8652296.514
988	8640978.242
989	8631167.173
990	8617834.764
991	8616806.928
992	8615068.174
993	8613762.221
994	8608550.358
995	8607774.644
996	8602512.11
997	8588571.682
998	8587276.297
999	8585240.16
